race|birth_date|isVaccinated|ownerName
Yellow-crowned night heron|02-11-2019|true|Kliment Brownfield
Lapwing, southern|16-07-2020|true|Kathleen Sheriff
Crowned eagle|15-10-2017|false|Cully Yarnell
Tapir, brazilian|19-01-2017|false|Valentia Braz
Bear, black|29-05-2016|false|Kaylil Marchington
Peacock, blue|03-02-2018|true|Woodrow Baford
Greylag goose|28-11-2018|false|Hiram Colum
Lilac-breasted roller|14-02-2020|false|Octavia Lakenden
Mynah, common|13-05-2022|false|Nollie Rumens
Cormorant (unidentified)|02-04-2016|true|Bronny Langfat
Black-eyed bulbul|07-01-2019|true|Gisela Trimmill
Long-billed cockatoo|29-11-2015|true|Bay McCaughran
Galapagos penguin|11-08-2016|true|Garvy Sinclair
Osprey|18-08-2022|true|Thorn Kitcherside
Devil, tasmanian|28-09-2018|true|Gretta Dundon
Black swan|18-06-2019|true|Darby Dwerryhouse
Scottish highland cow|25-01-2019|true|Laurene Sneath
Andean goose|25-02-2017|true|Norman Caen
Dog, black-tailed prairie|02-09-2018|false|Curry Keunemann
Lion, african|15-05-2017|false|Kiley Snepp
Land iguana|01-05-2017|false|Cacilie Kirkup
Vulture, lappet-faced|26-07-2016|true|Arturo Whittier
Wallaby, euro|22-10-2016|false|Kristina Longfoot
Common genet|05-01-2021|false|Shermie Slipper
Little cormorant|04-02-2017|false|Averil Camelin
Pigeon, wood|27-11-2015|false|Garrot Roberds
Red-knobbed coot|01-06-2017|true|Remus Tulley
Shrike, southern white-crowned|13-05-2018|true|Mildred Hourston
Gray rhea|19-10-2017|true|Kristos Sarll
Vulture, griffon|21-05-2018|false|Kevina Fermin
African buffalo|26-01-2018|true|Torey Fydoe
Black-capped capuchin|26-03-2016|true|Cammi Roscam
Giant armadillo|13-04-2019|false|Nonah Vautrey
Sacred ibis|28-02-2022|false|Paulo Bes
Galapagos dove|12-03-2018|true|Trudi Phillips
White-throated toucan|13-08-2022|true|Imojean Topliss
Common palm civet|06-01-2017|false|Henrie Curbishley
Honey badger|09-05-2019|true|Augy Exall
Pine snake (unidentified)|20-06-2017|false|Sean Compfort
Gull, kelp|12-08-2018|false|Ansell Drillingcourt
Magpie, australian|24-09-2022|true|Merv Heugle
Macaque, pig-tailed|21-04-2022|true|Claresta Hurlin
Racer, american|20-07-2019|false|Riannon Halwell
Toucan, red-billed|20-03-2019|false|Gillian Roycroft
Little brown dove|15-10-2017|true|Theodora Ryley
Raccoon dog|11-03-2016|true|Griswold Prinnett
Bird, red-billed tropic|04-10-2019|true|Daisey Sleigh
Tern, white-winged|10-01-2017|false|Conrad Weight
Baboon, savanna|19-09-2018|true|Perice O'Sullivan
Bleu, red-cheeked cordon|24-06-2019|false|Quint Bladder
Echidna, short-beaked|19-07-2016|false|Kendrick O'Dwyer
Bulbul, black-eyed|24-11-2016|false|Benny Chicken
Puna ibis|10-03-2018|false|Tiffanie Papes
Sarus crane|17-08-2017|false|Rosanna Houseago
European stork|13-03-2018|false|Kary Kirmond
Antelope, roan|27-02-2018|true|Kelsy Kennler
Otter, oriental short-clawed|27-02-2017|true|Dimitri Bentame
Snowy owl|02-04-2018|false|Blanch Mulderrig
Curve-billed thrasher|27-10-2017|false|Emmery Tambling
Kori bustard|28-12-2020|true|Roseanna Gruszczak
Great kiskadee|25-12-2015|true|Ivonne Olohan
Fringe-eared oryx|30-11-2015|false|Kort Studman
Wild turkey|24-06-2022|false|Val Oxbe
Bennett's wallaby|09-04-2022|false|Denver Wehner
Waterbuck, common|29-05-2019|false|Creight Slocomb
Squirrel, malabar|12-07-2017|true|Gabriell Beresford
Chacma baboon|02-04-2022|true|Antonella Bryer
Defassa waterbuck|28-04-2019|false|Nichols Teaser
Bateleur eagle|10-07-2020|false|Eadmund Kay
Antelope, roan|14-10-2017|false|Rafferty Firebrace
Marine iguana|09-01-2018|true|Isadore Byng
North American beaver|13-12-2021|false|Alva Ravilious
Bandicoot, short-nosed|20-06-2021|false|Vaughn Fleeman
Seal, northern fur|21-08-2021|false|Mano Tedahl
Magnificent frigate bird|12-04-2021|true|Katharyn Fitchet
Dragonfly, russian|06-11-2018|true|Ingrid Thwaites
Hawk, ferruginous|30-06-2021|true|Joete Dutnall
Bird, black-throated butcher|12-05-2022|false|Raffarty Cubbini
White-tailed deer|15-06-2018|true|Letty Dael
Grouse, greater sage|05-07-2016|true|Trenton Keiley
Asian elephant|03-02-2016|true|Lorilyn Landers
Pigeon, wood|14-06-2018|false|Fae Port
Western spotted skunk|29-03-2020|false|Cinnamon Notton
Madagascar hawk owl|10-03-2017|true|Silva Haddacks
Chital|14-02-2020|false|Dagny Sadat
Marmot, yellow-bellied|24-04-2021|false|Lyndsay Graver
Sunbird, lesser double-collared|21-04-2017|true|Jordan Creser
Black-capped chickadee|09-05-2022|false|Woodie Francis
Hudsonian godwit|05-01-2017|false|Ruggiero Boyfield
Dog, black-tailed prairie|12-07-2022|true|Vin Boncoeur
Scarlet macaw|14-11-2015|true|Rance Annes
Kingfisher, malachite|05-12-2021|false|Adair Farey
Jaguarundi|03-12-2021|false|Aube Stockings
Sandgrouse, yellow-throated|11-10-2020|false|Marian Wilhelmy
Scarlet macaw|26-02-2018|true|Rusty Rannigan
Otter, canadian river|05-09-2019|true|Tonye Tenbrug
Swan, trumpeter|25-07-2018|true|Frieda Giovannardi
Eagle, white-bellied sea|18-09-2021|true|Bronnie Geraldo
Gaur|24-11-2015|false|Addi Yedall
Tortoise, radiated|05-11-2019|false|Ravi Fosserd
Ring-necked pheasant|01-05-2016|true|Dyann Lloyd-Williams
Owl, australian masked|30-01-2021|true|Cob Wonham
Caiman, spectacled|30-04-2021|true|Aryn Karolowski
White-winged black tern|11-09-2020|false|Jaye Brierton
Superb starling|13-06-2020|false|Yehudit Keemer
Canadian tiger swallowtail butterfly|13-02-2017|true|Owen Rollett
Glider, feathertail|06-11-2021|false|Florenza Flacke
Red-billed toucan|20-07-2020|true|Valentia Teggart
Hottentot teal|23-09-2019|true|Donny Elliot
Springbuck|15-05-2021|false|Florenza Handslip
Anteater, australian spiny|15-01-2019|true|Callean D'Ugo
Guerza|27-02-2018|false|Slade Woodyear
Herring gull|19-09-2022|true|Rhiamon Duggen
Albatross, waved|20-03-2016|true|Friedrich Cookes
Cobra, cape|11-05-2021|true|Garwood Scard
Zebra, plains|04-01-2020|false|Rem Duchesne
Emerald-spotted wood dove|02-04-2021|true|Eduard Dispencer
Greater adjutant stork|23-06-2019|false|Alanah Crosoer
Avocet, pied|14-04-2021|false|Osbourn Smiths
White-winged black tern|22-06-2022|false|Helene Arunowicz
White rhinoceros|11-05-2020|false|Joye Bramah
Bird, secretary|20-11-2020|true|Bat Iltchev
Jungle kangaroo|15-12-2016|true|Orran Stilling
Possum, golden brush-tailed|09-04-2017|false|Iormina Wiggins
Lemming, collared|03-04-2021|false|Bellanca Whissell
Partridge, coqui|17-03-2021|false|Vassili Clerc
Common dolphin|08-07-2017|false|Kristy Lilloe
Snake, tiger|27-09-2020|false|Isidor Sill
White-throated monitor|20-08-2022|false|Meade Carabine
Levaillant's barbet|12-09-2022|true|Cassie Chrippes
Gazelle, grant's|08-11-2019|true|Zaccaria Dibbe
Brown pelican|16-07-2017|false|Chryste Warn
Old world fruit bat (unidentified)|02-03-2020|false|Danella Riediger
Oystercatcher, blackish|02-06-2020|true|Allistir Derges
Cape clawless otter|06-07-2018|true|Lanny Lodder
Rhesus monkey|22-10-2016|true|Orin Corbishley
Crane, blue|23-12-2020|true|Arden Pitkaithly
Bulbul, african red-eyed|26-01-2019|false|Vanda Elix
Lizard (unidentified)|26-11-2020|false|Corabelle Martyntsev
Eastern boa constrictor|18-10-2017|true|Darby Heinrici
Vulture, bengal|30-07-2016|true|Mervin Temporal
Dove, galapagos|25-09-2017|false|Artair De Roeck
White-throated toucan|11-09-2016|false|Marlene Plaster
Cape cobra|09-02-2018|false|Yelena Burkwood
Lilac-breasted roller|28-09-2016|true|Rubi Seabrooke
Orca|12-04-2016|true|Karrie Bretherick
Goldeneye, barrows|05-03-2022|true|Selle Hosten
Water legaan|05-10-2018|false|Michelina Wilbraham
Red brocket|03-10-2020|true|Margeaux McDyer
Ox, musk|08-08-2021|true|Billy Bust
Loris, slender|30-12-2015|false|Shadow Grafton
Crab (unidentified)|03-02-2016|false|Arlette Grahamslaw
Vulture, bengal|09-02-2016|false|Fielding Flaune
Red-cheeked cordon bleu|23-11-2020|true|Brigg Bremeyer
Chipmunk, least|29-01-2016|true|Hunt Begg
Violet-eared waxbill|08-12-2015|false|Gretta Beynkn
Lily trotter|08-02-2020|false|Marjory Cheake
Raven, white-necked|16-03-2019|false|Claybourne MacBain
Hartebeest, coke's|21-06-2017|false|Cynthy Tickner
Yellow baboon|03-11-2019|false|Abel Philipsson
Arboral spiny rat|24-05-2019|false|Wyatan Hailwood
Marmot, hoary|28-06-2017|true|Hube Rugg
Nile crocodile|06-08-2019|true|Kimberli Hammerman
Tern, arctic|24-01-2020|false|Erroll Leece
Fox, pampa gray|18-11-2017|false|Colene Mazzei
American marten|17-07-2021|false|Philis Robinson
Black-capped chickadee|18-07-2016|false|Helsa Perigo
Crow, american|06-04-2022|false|Deny Pakeman
Possum, golden brush-tailed|26-07-2016|false|Hans Reide
Lemur, sportive|13-02-2017|true|Faydra Stroulger
Lemur, ring-tailed|28-10-2015|true|Any Dyball
African fish eagle|03-07-2016|true|Sybil Stratley
Southern ground hornbill|09-01-2016|false|Rebekkah Stripp
Python, carpet|16-11-2017|true|Durward Decaze
Swainson's francolin|27-02-2022|true|Anya Acheson
Lion, galapagos sea|01-01-2018|true|Timmi Colebrook
Ringtail cat|14-04-2020|false|Gorden Vogelein
Egyptian viper|10-10-2019|false|Yale Moodey
Colobus, magistrate black|02-04-2020|false|Nita Kintzel
Galapagos albatross|17-12-2018|true|Guido Kytley
Tortoise, radiated|13-07-2016|true|Misti Merritt
Racer snake|05-08-2016|true|Meta Calton
Tortoise, asian foreset|19-09-2016|true|Didi Outlaw
Dove, white-winged|21-03-2017|true|Phyllida John
Magpie, australian|15-04-2019|true|Berty Indgs
Lappet-faced vulture|22-02-2022|true|Carmelina Morgue
Bustard, denham's|10-05-2016|false|Worth Pounder
Lion, south american sea|23-05-2017|false|Jordan Bellocht
Fox, bat-eared|12-06-2016|false|Nessy Eringey
Squirrel, eastern fox|18-11-2017|false|Joe Colegate
Cuis|12-08-2021|true|Katlin Blackston
Sally lightfoot crab|25-01-2022|false|Chrystel McGuire
Large cormorant|06-02-2017|false|Alfreda Snaith
Rhinoceros, white|23-03-2017|false|Kip Frensche
Snow goose|26-04-2019|false|Thomasa Markovich
Australian sea lion|28-01-2016|true|Winfield Druhan
Yellow-rumped siskin|06-09-2019|true|Shina Leipold
Collared lizard|23-06-2019|true|Ailyn Daggett
Grey lourie|06-06-2019|true|Osborne Toupe
Siskin, yellow-rumped|24-01-2019|false|Melisande Tregent
Campo flicker|15-02-2022|true|Wayland McNickle
Oryx, fringe-eared|13-05-2022|true|Netty Robel
Black and white colobus|06-01-2019|true|Cosetta Baldacco
Common long-nosed armadillo|23-08-2017|true|Saundra Logsdail
Greater kudu|15-03-2022|false|Brien Wein
Cormorant, flightless|09-09-2017|true|Zahara Risley
Red hartebeest|05-09-2021|false|Alix Lennarde
Blue fox|25-05-2020|true|Zachary Dicks
Rhea, greater|17-01-2016|false|Ade Maddra
Reedbuck, bohor|13-06-2018|false|Gayel Jeger
Blackish oystercatcher|27-08-2021|true|Theresita Kingsman
Polar bear|12-06-2018|true|Drucie Regnard
Langur, hanuman|19-11-2021|true|Harper Parram
Malay squirrel (unidentified)|31-07-2021|true|Patrice Syer
Galapagos albatross|24-12-2016|true|Kelwin Shoppee
Otter, brazilian|02-01-2016|true|Becka Keme
Levaillant's barbet|06-09-2016|true|Veronica Harhoff
Plains zebra|06-08-2018|true|Hertha Cullum
Puna ibis|28-12-2018|false|Sandy Brunelli
Spur-winged goose|05-02-2016|false|Xenos Flaxon
Desert spiny lizard|23-06-2019|true|Fritz Harrowsmith
Galapagos hawk|24-07-2020|false|Gregory Blanche
Egret, great|04-09-2020|false|Margaux Kippin
Boa, columbian rainbow|14-04-2020|true|Bibi Grendon
Bettong, brush-tailed|16-11-2021|true|Town Brixey
Cockatoo, sulfur-crested|30-04-2022|true|Muhammad Glendining
Duck, comb|26-02-2020|false|Valdemar Bails
Pine squirrel|20-07-2020|false|Dody Gavrieli
Sloth, two-toed tree|20-09-2016|true|Celie Humbatch
Monkey, rhesus|12-12-2019|false|Broderick Yegorev
Carmine bee-eater|20-10-2015|true|Alysia Christofle
Andean goose|29-05-2022|true|Andre Gaitskell
Zorro, azara's|31-03-2018|false|Constantin Sheirlaw
Beaver, eurasian|18-11-2017|true|Patience Varndall
Squirrel, palm|09-05-2020|true|Kimberlyn Coucher
Otter, oriental short-clawed|22-09-2020|true|Amandi Vasiltsov
Arctic ground squirrel|07-06-2016|false|Amie Halward
Cat, tiger|17-08-2022|false|Robina Cutbirth
Tern, white-winged black|14-07-2016|false|Marion Fazakerley
Green-winged trumpeter|23-06-2016|false|Pollyanna Mattacks
Land iguana|07-02-2019|true|Marisa Murray
Long-nosed bandicoot|06-01-2017|false|Dotty Churchward
Bushbaby, large-eared|13-12-2021|false|Keelby Smooth
Nelson ground squirrel|07-12-2020|true|Stacee Dunphy
Woodpecker, red-headed|14-03-2016|true|Alfons Pestricke
South American sea lion|18-09-2022|false|Carolus Dallewater
Tarantula|10-11-2021|true|Mordecai Doud
Brown lemur|01-07-2018|true|Garrard Tocher
Marshbird, brown and yellow|07-05-2022|true|Shaw Saffer
Netted rock dragon|09-10-2017|true|Noella Norsworthy
Monkey, vervet|30-10-2016|true|Edsel Snowball
Dabchick|28-09-2016|true|Doug Hansie
Japanese macaque|24-11-2019|false|Lance Fanstone
Leopard|09-04-2021|true|Giacinta Deighton
Eurasian hoopoe|10-08-2018|true|Douglass Millyard
Dove, galapagos|22-12-2015|false|Jeremie Abrahams
Possum, ring-tailed|24-07-2019|true|Lilas Benoist
Cockatoo, long-billed|19-04-2022|true|Deedee Willison
Ringtail cat|15-09-2020|true|Carlina Bottby
Skua, long-tailed|02-11-2018|true|Gaelan Veregan
Field flicker|13-02-2022|false|Leda O'Gormally
Bulbul, black-eyed|25-07-2019|false|Sarette Medler
Collared lemming|03-12-2015|true|Lavinia Marchington
White stork|18-08-2020|true|Vyky Goforth
African wild cat|18-08-2016|true|Layne Sweedland
Western patch-nosed snake|12-04-2017|false|Nils Mongenot
Serval|22-03-2016|true|Gillian Tinham
Violet-eared waxbill|22-04-2021|false|Aland Lucian
Francolin, swainson's|03-08-2018|true|Tanitansy Benneton
Verreaux's sifaka|19-09-2016|false|Ardisj Guyton
Asian false vampire bat|26-04-2016|true|Josefina Bagger
Shelduck, common|30-11-2018|false|Annmarie Wingeat
Albatross, galapagos|23-07-2017|false|Rosabella Derkes
Mynah, indian|09-08-2017|true|Jennie Flannigan
Yellow-brown sungazer|16-01-2018|false|Sidney Lewry
Jackal, indian|12-06-2019|false|Cheslie de Amaya
Tyrant flycatcher|16-03-2020|false|Bev Flewan
Waved albatross|17-09-2021|true|Florry Jankovsky
King cormorant|26-07-2018|true|Michal Egan
Ferruginous hawk|09-04-2022|false|Meta Emlin
Gila monster|16-12-2016|false|Tabitha MacGiolla Pheadair
Cat, toddy|19-01-2019|true|Kizzee Stroobant
Cow, scottish highland|29-04-2019|false|Clara Sonner
Bleu, red-cheeked cordon|30-11-2018|true|Trescha Clohisey
Smith's bush squirrel|10-01-2020|false|Denver Itter
African bush squirrel|19-05-2016|false|Martita Yeoland
Wild boar|22-05-2021|false|Les Chastelain
Woodpecker, red-headed|24-12-2015|true|Doll Andriolli
Screamer, southern|31-01-2022|true|Kristen Debow
Western spotted skunk|21-10-2018|false|Eadith Goulthorp
White-winged black tern|15-01-2019|false|Brear Letixier
Black-cheeked waxbill|21-11-2017|false|Joe Wyldes
American beaver|16-03-2016|true|Briana Sadat
Mouflon|17-12-2019|false|Avrom Amber
Silver gull|09-05-2021|false|Brigit Carss
Rattlesnake, dusky|10-11-2019|false|Noelle Brandts
Heron, goliath|02-09-2017|false|Ulrich Preto
Puma|24-07-2020|true|Euell Gentreau
Australian pelican|02-06-2019|false|Daphne Gheorghe
Malleefowl|04-07-2016|true|Kassi Petegre
Common dolphin|09-07-2016|false|Susanna Barrows
Rock dove|04-06-2022|false|Lesly Shevlin
Purple moorhen|14-10-2020|true|Harley Jessope
Hawk-eagle, crowned|02-05-2022|false|Rafe Tabner
Shrike, common boubou|02-07-2017|true|Rebecka Hilbourne
Puma, south american|01-06-2020|false|Binnie Alelsandrovich
Chital|08-01-2020|false|Sadella Darque
Caracara, yellow-headed|13-09-2018|false|Malva Longfut
White-throated robin|10-07-2021|true|Ardelle Prosch
Jackal, indian|15-08-2022|false|Ralf Laterza
Black-eyed bulbul|16-09-2017|false|Wylie Wonfar
Jaeger, long-tailed|10-11-2019|true|Leeann Daybell
Eagle, bald|09-08-2021|true|Giulio Raccio
Oystercatcher, blackish|30-10-2020|true|Ricca Queripel
Skunk, striped|20-03-2020|false|Wylma Stangoe
Common ringtail|12-11-2018|true|Haskell McBrady
Horned puffin|25-03-2018|false|Cindy Zanneli
Eastern grey kangaroo|20-01-2019|false|Paddy Gerg
Heron, green|02-04-2016|false|Alano Symmers
Shrike, southern white-crowned|10-03-2016|false|West Brodbin
Pronghorn|02-04-2018|true|Jacqui Partrick
Crowned eagle|30-09-2022|true|Sonia Ewbach
Red squirrel|04-01-2016|false|Nat Cordrey
Japanese macaque|10-10-2016|false|Lucina Gallihawk
Flamingo, greater|23-09-2021|false|Celestine Ondricek
Cockatoo, long-billed|14-09-2016|true|Alyson Dikelin
Pied butcher bird|14-04-2021|true|Barty Hebble
Spotted-tailed quoll|28-12-2020|true|Moll Dawtre
Grey heron|19-04-2018|false|Brunhilda Yurtsev
Sidewinder|25-02-2017|false|Stanleigh Matzke
Eagle, golden|21-06-2017|true|Hannie Trounson
Wild water buffalo|12-05-2016|true|Ted Hedingham
Pheasant, ring-necked|18-02-2022|false|Melesa Timblett
Cormorant, pied|01-04-2020|false|Ursula Caren
Slender loris|09-02-2019|true|Imogen Killelay
North American river otter|06-03-2022|false|Judie Baudts
Ibis, glossy|17-03-2017|true|Cart Youster
Genet, common|15-07-2022|false|Yehudi Huntingford
Sunbird, lesser double-collared|23-10-2017|true|Kimmie Mufford
Trumpeter swan|28-02-2018|false|Frayda Lowin
Rhea, gray|05-01-2016|false|Sawyer Tibbetts
Common goldeneye|25-09-2019|true|Frasco Lowther
Southern tamandua|11-03-2020|true|Alf Hedworth
Wallaby, tammar|16-05-2016|true|Laurena Broadberry
Water moccasin|12-02-2018|false|Lynette Donovan
Green-winged macaw|26-08-2022|true|Ernest Khalid
Chipmunk, least|22-11-2019|false|Joice Coldbathe
Great white pelican|19-02-2018|true|Zaria MacGibbon
Komodo dragon|24-12-2019|false|Shadow Shakelady
Knob-nosed goose|05-08-2021|false|Ara Labusquiere
Glossy ibis|09-01-2016|true|Walther Syne
Defassa waterbuck|02-05-2016|true|Cleopatra De Dei
Long-billed cockatoo|18-05-2020|false|Ransell Gilchrist
Chipmunk, least|17-08-2021|false|Muire Dowse
Tinamou, elegant crested|31-07-2018|true|Inge Fain
Mongoose, javan gold-spotted|17-07-2017|true|Ibby Olwen
Spur-winged goose|21-01-2019|true|Reynolds Chiplen
Red deer|04-07-2018|false|Ina Gleadhell
Vulture, lappet-faced|06-05-2019|true|Ruthie Dumphreys
Sportive lemur|13-08-2018|false|Paola Collerd
Desert kangaroo rat|19-11-2021|false|Jodi Widger
Rattlesnake, dusky|24-01-2017|false|Jemimah Pusill
Ocelot|14-01-2016|true|Jay Mosedall
Dove, mourning collared|15-01-2022|false|Kalina Leney
Snake, eastern indigo|23-09-2016|false|Amelie Willmore
Pale-throated three-toed sloth|12-06-2021|false|Christian Buttel
Cat, tiger|18-02-2018|true|Jerrilee Bollum
Penguin, fairy|17-07-2021|false|Skelly Ruddle
Magistrate black colobus|18-02-2016|true|Amil Solley
Stone sheep|20-04-2018|false|Mario Starmont
Frilled lizard|16-02-2016|true|Hurleigh Aim
Asian openbill|02-07-2016|true|Izzy Grevatt
Turtle, eastern box|14-09-2022|true|Myrna Wanne
Mule deer|14-05-2017|false|Cybil Chapling
Turtle, long-necked|06-12-2016|true|Benjie Setchfield
Lemming, collared|02-12-2019|false|Ron Tremblay
Cobra, egyptian|15-02-2021|true|Barthel Chetwin
Sheep, stone|24-04-2016|true|Brianne Verbruggen
Bat, madagascar fruit|27-08-2016|false|Gayler Chattington
Tern, royal|27-04-2020|true|Geoffrey Ladley
Duiker, gray|16-02-2017|false|Boy Graeme
Galapagos dove|26-12-2018|true|Nissy Finlaison
Penguin, magellanic|25-08-2021|false|Sioux Fishburn
Squirrel, african bush|20-02-2018|true|Zeb Broadbear
Hyena, spotted|28-12-2018|false|Kirbie Battrick
Armadillo, nine-banded|02-05-2022|true|Daniela Snar
Spurfowl, yellow-necked|05-02-2020|false|Puff Collinette
Ferret, black-footed|06-11-2018|true|Frankie Antonich
Green-winged trumpeter|14-01-2021|true|Lonee Jenkison
Wild water buffalo|27-11-2019|true|Katherine Schinetti
Paca|25-03-2018|false|Joelie Machin
White-tailed deer|28-01-2018|true|Cassi Tampion
Margay|04-01-2022|false|Bren Antognoni
Red squirrel|03-01-2019|true|Rhodia Kobera
Boa, emerald green tree|18-10-2019|false|Erminie Mallon
Yellow-billed stork|11-01-2022|false|Koren Dallicoat
Moorhen, purple|24-03-2017|false|Luz Ales0
Prairie falcon|26-01-2019|true|Tiler Tort
Llama|15-10-2018|true|Rosetta Anthoine
Black-crowned night heron|19-10-2021|true|Minda Honig
Skua, long-tailed|06-04-2020|true|Hanson Iianon
Macaw, green-winged|27-01-2021|false|Carmelita Littlefair
Raven, white-necked|07-01-2021|false|Leta Olenin
Finch, common melba|30-11-2016|false|Matias Goseling
Whip-tailed wallaby|12-07-2019|true|Sandor Delagua
Ringtail cat|17-05-2017|false|Quinton McNicol
Dove, rock|24-05-2019|false|Sibilla Dugue
Shrike, common boubou|23-12-2015|true|Kiersten Bristowe
Spoonbill, white|17-05-2019|true|Howie Gowman
American badger|20-11-2017|false|Thurstan Machel
Snake, tiger|12-08-2016|false|Lydia Felder
Griffon vulture|24-12-2017|true|Rahal Fosserd
Coatimundi, ring-tailed|28-11-2015|false|Chariot Montfort
Seal, northern fur|26-06-2018|false|Adelheid Woodburn
Bonnet macaque|18-10-2019|false|Parker Brands
Waxbill, violet-eared|25-11-2015|false|Ignacius Winsper
Dusky rattlesnake|07-01-2017|true|Creighton Mullane
Killer whale|14-08-2017|true|Tove Cassey
Cuis|01-04-2018|true|Josey Kingdon
Insect, stick|10-11-2018|true|Clarinda Dickon
Southern ground hornbill|17-11-2021|true|Idell Kemmish
Capuchin, white-fronted|13-12-2017|false|Thomas Pieche
Rattlesnake, eastern diamondback|06-12-2018|true|Kylen Kolushev
Woodchuck|26-12-2018|true|Rollin Hallagan
